Date,City,Temperature (°C),Humidity,Wind Speed,Rainfall
2023-01-01,Tel Aviv,30.65,61.94,6.26,0
2023-01-02,Jerusalem,30.00,61.29,4.75,0
2023-01-03,Eilat,31.62,55.40,12.65,15
2023-01-04,Jerusalem,30.70,60.02,13.45,5
2023-01-05,Eilat,31.00,58.47,11.73,10
2023-01-06,Eilat,33.18,73.23,11.01,5
2023-01-07,Jerusalem,30.00,61.95,14.21,0
2023-01-08,Haifa,30.00,50.36,10.78,5
2023-01-09,Haifa,32.04,56.75,10.15,10
2023-01-10,Jerusalem,30.98,63.80,7.41,0
2023-01-11,Jerusalem,30.00,54.15,10.64,0
2023-01-12,Haifa,32.15,66.68,8.20,5
2023-01-13,Jerusalem,33.27,48.43,11.85,5
2023-01-14,Jerusalem,30.52,65.73,12.13,0
2023-01-15,Tel Aviv,31.54,52.15,7.95,0
2023-01-16,Haifa,30.62,61.67,9.57,0
2023-01-17,Tel Aviv,30.00,66.23,7.82,0
2023-01-18,Haifa,30.00,71.29,8.08,0
2023-01-19,Tel Aviv,30.77,59.96,10.26,0
2023-01-20,Haifa,32.05,68.89,11.70,0
2023-01-21,Eilat,30.55,79.44,11.67,0
2023-01-22,Tel Aviv,30.00,47.91,8.89,15
2023-01-23,Haifa,30.72,42.38,11.11,0
2023-01-24,Eilat,34.00,70.14,8.40,0
2023-01-25,Haifa,30.00,64.34,13.32,0
2023-01-26,Haifa,31.93,53.91,12.15,0
2023-01-27,Haifa,31.90,57.69,7.55,0
2023-01-28,Haifa,30.00,59.76,7.54,0
2023-01-29,Haifa,30.73,57.40,11.56,0
2023-01-30,Eilat,31.96,60.63,7.52,0
2023-01-31,Haifa,31.77,52.33,7.29,0
2023-02-01,Tel Aviv,30.00,69.06,11.60,0
2023-02-02,Jerusalem,30.00,45.16,11.02,0
2023-02-03,Haifa,30.00,64.68,10.30,0
2023-02-04,Haifa,30.00,53.82,10.06,0
2023-02-05,Haifa,31.94,41.94,11.87,0
2023-02-06,Haifa,31.98,51.77,12.10,0
2023-02-07,Haifa,30.00,66.37,13.00,15
2023-02-08,Haifa,30.00,58.52,8.01,5
2023-02-09,Jerusalem,30.82,64.91,13.95,0
2023-02-10,Eilat,33.38,80.63,8.39,15
2023-02-11,Tel Aviv,30.00,63.22,12.07,15
2023-02-12,Haifa,31.33,56.87,7.77,15
2023-02-13,Haifa,30.00,52.61,9.50,0
2023-02-14,Jerusalem,30.00,43.33,8.67,10
2023-02-15,Haifa,30.00,60.04,9.57,15
2023-02-16,Tel Aviv,30.00,79.66,11.92,10
2023-02-17,Tel Aviv,30.27,64.74,9.96,0
2023-02-18,Eilat,30.00,66.32,11.27,0
2023-02-19,Haifa,31.23,57.94,11.50,15
2023-02-20,Tel Aviv,31.28,65.23,10.09,15
2023-02-21,Eilat,34.02,74.45,6.51,5
2023-02-22,Haifa,30.43,53.29,15.39,0
2023-02-23,Haifa,32.04,71.64,8.26,0
2023-02-24,Eilat,30.12,77.11,10.46,5
2023-02-25,Haifa,30.00,60.92,12.13,0
2023-02-26,Jerusalem,31.22,68.78,8.85,0
2023-02-27,Tel Aviv,32.00,68.34,14.94,0
2023-02-28,Haifa,30.10,68.05,9.25,0
2023-03-01,Eilat,30.00,59.26,10.30,0
2023-03-02,Jerusalem,30.73,75.62,10.96,0
2023-03-03,Tel Aviv,30.00,50.43,11.70,0
2023-03-04,Haifa,30.00,58.75,10.65,0
2023-03-05,Tel Aviv,30.00,55.00,10.90,15
2023-03-06,Eilat,31.43,53.20,10.20,10
2023-03-07,Tel Aviv,30.00,58.91,6.72,0
2023-03-08,Tel Aviv,30.80,80.41,7.13,15
2023-03-09,Haifa,30.00,64.75,6.32,0
2023-03-10,Jerusalem,30.00,45.40,5.80,0
2023-03-11,Haifa,30.00,71.85,9.51,15
2023-03-12,Eilat,31.71,79.28,7.33,0
2023-03-13,Jerusalem,30.00,60.22,10.54,5
2023-03-14,Jerusalem,30.00,83.22,12.01,5
2023-03-15,Jerusalem,30.00,64.16,13.70,0
2023-03-16,Eilat,30.00,66.03,12.24,0
2023-03-17,Jerusalem,30.00,69.45,14.63,15
2023-03-18,Haifa,31.59,58.77,11.98,0
2023-03-19,Jerusalem,32.00,64.61,7.87,0
2023-03-20,Eilat,30.00,75.97,9.40,0
2023-03-21,Tel Aviv,30.39,80.40,9.61,0
2023-03-22,Jerusalem,31.96,50.51,10.42,0
2023-03-23,Jerusalem,30.00,76.03,7.55,0
2023-03-24,Tel Aviv,30.00,67.11,11.58,0
2023-03-25,Eilat,30.00,71.90,8.79,0
2023-03-26,Jerusalem,31.00,63.21,9.48,5
2023-03-27,Haifa,33.76,54.21,8.28,10
2023-03-28,Tel Aviv,30.00,61.27,11.51,0
2023-03-29,Tel Aviv,30.00,63.35,11.58,0
2023-03-30,Haifa,31.49,59.18,7.49,5
2023-03-31,Haifa,30.00,66.46,14.39,5
2023-04-01,Haifa,30.00,58.08,11.83,0
2023-04-02,Haifa,30.00,48.03,10.23,0
2023-04-03,Haifa,30.00,60.06,7.49,0
2023-04-04,Haifa,35.25,67.35,12.96,15
2023-04-05,Haifa,33.02,56.55,10.11,0
2023-04-06,Haifa,30.00,59.87,10.57,15
2023-04-07,Eilat,30.00,64.20,11.59,10
2023-04-08,Jerusalem,30.00,69.59,10.77,0
2023-04-09,Eilat,30.00,36.87,8.78,0
2023-04-10,Eilat,33.05,62.67,6.76,0
